event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
ILCA 7 Men,EurILCA Senior European Championships,FRA202211NAJ,2022-11-14,2022-11-21,"Hyères, France",https://sailing.org/regatta/eurilca-senior-european-championships?ref=FRA202211NAJ,,,,,,,,
ILCA 7 Men,2021 EurILCA Senior European Championships,BUL202110LAS,2021-10-02,2021-10-09,"Varna, Bulgaria",https://sailing.org/regatta/2021-eurilca-senior-european-championships?ref=BUL202110LAS,,,,,,,,
ILCA 6 Women,ILCA Senior European Championships,SWE202508LYL,2026-05-15,2026-05-22,"Kastela, Croatia",https://sailing.org/regatta/ilca-senior-european-championships?ref=SWE202508LYL,,,,,,,,
ILCA 6 Women,EurILCA Senior European Championships,FRA202211AT4,2025-08-08,2025-08-16,"Marstrand, Sweden, Sweden",https://sailing.org/regatta/eurilca-senior-european-championships?ref=FRA202211AT4,,,,,,,,
ILCA 6 Women,EurILCA Senior European Championships,FRA202211E02,2024-02-16,2024-02-23,"Athens, Greece",https://sailing.org/regatta/eurilca-senior-european-championships?ref=FRA202211E02,,,,,,,,
ILCA 6 Women,EurILCA Senior European Championships,FRA202211EUR,2023-03-10,2023-03-17,"Andora, Italy",https://sailing.org/regatta/eurilca-senior-european-championships?ref=FRA202211EUR,,,,,,,,
ILCA 6 Women,EurILCA Senior European Championships,FRA202211NAJ,2022-11-14,2022-11-21,"Hyères, France",https://sailing.org/regatta/eurilca-senior-european-championships?ref=FRA202211NAJ,,,,,,,,
ILCA 6 Women,2021 EurILCA Senior European Championships,BUL202110LAS,2021-10-02,2021-10-09,"Varna, Bulgaria",https://sailing.org/regatta/2021-eurilca-senior-european-championships?ref=BUL202110LAS,,,,,,,,
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,,,,,,,,
IQFOiL Men,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,,,,,,,,
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,,,,,,,,
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,,,,,,,,
IQFOiL Men,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,,,,,,,,
IQFOiL Men,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,,,,,,,,
IQFOiL Women,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,,,,,,,,
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,,,,,,,,
IQFOiL Women,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,,,,,,,,
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,,,,,,,,
IQFOiL Women,iQFOiL European Championships,ITA202205DAB,2022-05-15,2022-05-22,"Torbole, Lake Garda, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205DAB,,,,,,,,
IQFOiL Women,iQFOil European Championship,FRA202110TAX,2021-10-25,2021-10-30,"Marseilles, France",https://sailing.org/regatta/iqfoil-european-championship?ref=FRA202110TAX,,,,,,,,
Formula Kite Men,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,,,,,,,,
Formula Kite Men,Formula Kite European Championships,ESP202403HKJ,2024-03-15,2024-03-24,"Los Alcazares, Mar Menor, Murcia, Spain",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKJ,,,,,,,,
Formula Kite Men,Formula Kite European Championships,GRE202209ILG,2023-09-16,2023-09-24,"Portsmouth (UK), Great Britain",https://sailing.org/regatta/formula-kite-european-championships?ref=GRE202209ILG,,,,,,,,
Formula Kite Men,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,,,,,,,,
Formula Kite Men,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,,,,,,,,
Formula Kite Men,Formula Kite European Championships,POL202008QAC,2020-08-18,2020-08-23,"Puck, Poland",https://sailing.org/regatta/formula-kite-european-championships?ref=POL202008QAC,,,,,,,,
Formula Kite Women,Formula Kite European Championships,ESP202403HKR,2025-05-11,2025-05-19,"Urla, Türkiye, Türkiye",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKR,,,,,,,,
Formula Kite Women,Formula Kite European Championships,ESP202403HKJ,2024-03-15,2024-03-24,"Los Alcazares, Mar Menor, Murcia, Spain",https://sailing.org/regatta/formula-kite-european-championships?ref=ESP202403HKJ,,,,,,,,
Formula Kite Women,Formula Kite European Championships,GRE202209ILG,2023-09-16,2023-09-24,"Portsmouth (UK), Great Britain",https://sailing.org/regatta/formula-kite-european-championships?ref=GRE202209ILG,,,,,,,,
Formula Kite Women,Formula Kite Individual European Championships,GRE202209UDO,2022-09-24,2022-10-02,"Nafpaktos, Greece",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202209UDO,,,,,,,,
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,,,,,,,,
Formula Kite Women,Formula Kite European Championships,POL202008QAC,2020-08-18,2020-08-23,"Puck, Poland",https://sailing.org/regatta/formula-kite-european-championships?ref=POL202008QAC,,,,,,,,
