group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q (US),2Q (US),3Q (US),4Q (US),5Q (CR),6Q (CR),7Q (CR),8Q (CR),9F (SL),10F (SL),11F (SL),12F (SL),13F (CR),14F (CR),15F (CR),16F (CR),17F (SL),18F (SL),19F (SL),QF,SF,F1,F
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,56,GBR,Great Britain,William Ziegler,GBRWZ1,,610,403,13,5,19,35,(56) UFD,9,33,(51),37,21,27,23,42,(49),40,(51),27,33,39 DNC,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,57,KOR,Republic of Korea,Tae Hoon Lee,KORTL1,,631,442,9,17,17,15,(37),(42),31,27,35,31,35,37,53,(55),(55),52,19,25,39 DNS,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,58,LTU,Lithuania,Rytis Jasiunas,LTURJ1,,245,152,23,15,31,17,18,30,(33),(42),(11),1,2,3,5,(7),4,1,1,1,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,59,NED,Netherlands,Joost Vink,NEDJV76,,311,170,11,21,19,25,(30),(33),26,20,1,(39) DNF,7,2,18,3,3,7,7,(39) BFD,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,60,THA,Thailand,William McMillan,THAWM1,,334,179,(31),31,25,31,(56) DSQ,19,2,12,1,27,4,1,1,1,1,(39) BFD,23,(29),-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,61,SWE,Sweden,Vidar Nystrom,SWEVN1,,303,179,13,17,23,17,(43),(56) DNC,30,34,3,5,1,(12),12,4,8,(13),3,9,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,62,POL,Poland,Leon Jankowski,POLLJ4,,342,203,21,17,13,21,32,(47),(48),45,9,7,3,(21),(23),6,18,3,7,1,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,63,FRA,France,Titouan Fasquelle,FRATF17,,330,204,19,27,13,(29),(33),17,29,24,13,9,14,9,(25),11,5,(39) BFD,13,1,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,64,EST,Estonia,Aksel Haava,ESTAH6,,334,206,15,25,15,31,17,(32),14,(46),(25),13,13,7,2,13,9,(25),15,17,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,65,DEN,Denmark,Oscar Buch,DENOB3,,351,209,25,21,19,19,(45),23,14,(26),5,1,20,30,(32),8,10,(39) BFD,9,5,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,66,DEN,Denmark,Malthe Lillelund,DENML31,,362,210,27,7,15,15,(39),35,(45),36,1,5,5,(29),9,25,20,5,5,(39) DSQ,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,67,FRA,France,Hoël Quintric,FRAHQ3,,356,234,19,23,25,17,24,(45),32,(33),(21),17,19,11,14,16,13,3,1,(23),-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,68,FRA,France,Maxime Parisse,FRAMP103,,369,236,23,25,23,(33),22,27,20,(38),17,3,18,8,(27),(35),11,21,1,17,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,69,KOR,Republic of Korea,GUNHAK CHOI,KORGC1,,412,238,31,19,19,35,(56) UFD,(45),13,15,11,(39) DNF,15,(34),16,20,17,9,3,15,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,70,SUI,Switzerland,Loïc Huguenin,SUILH8,,373,244,21,21,23,17,(27),(34),22,17,3,25,(29),20,(39),24,12,5,27,7,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,71,GER,Germany,Lenny Friemel,GERLF22,,440,248,23,9,17,7,38,(43),(56) DNC,39,7,5,30,16,(48),32,(45),5,13,7,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,72,CZE,Czechia,David Drda,CZEDD3,,393,251,27,29,(35),29,20,(39),34,29,3,13,6,18,3,19,6,(39) DNC,(29),15,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,73,POL,Poland,Tomek Kisielewski,POLTK15,,401,252,33,23,25,35,(44),(41),24,31,5,3,(31),26,22,14,(33),1,7,3,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,74,SUI,Switzerland,Robin Zeley,SUIRZ5,,400,252,17,23,19,25,19,(44),17,(39),7,11,12,17,(35),(30),53 DNE,1,21,10 RDG,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,75,NED,Netherlands,Peyton Dits,NEDPD34,,405,254,33,21,27,31,14,29,(46),(43),9,7,27,(28),7,28,(34),3,9,9,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,76,AUT,Austria,Theo Peter,AUTTP5,,420,257,15,17,5,25,(44),26,(41),40,5,1,35,(37),(41),9,32,11,11,25,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,77,LAT,Latvia,Davis Mazais,LATDM2,,417,260,23,23,33,25,(39),(56) UFD,35,23,(31),17,21,4,4,(31),7,17,23,5,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,78,DEN,Denmark,Magne Sejer Iversen,DENMS25,,429.75,261.75,31,9,23,23,28,38,(50),(44),9,11,(42),(32),19,10,25.75 RDG,13,11,11,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,79,ITA,Italy,Francesco Forani,ITAFF107,,414,265,17,27,17,29,(37),14,31,(35),(39) DNC,9,16,31,8,27,(38),21,15,3,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,80,SUI,Switzerland,Nino Livio Lofterød,SUINL1,,450.7,273,21,9,19,33,(56) UFD,(40.7) RDG,36,30,(39) DNC,23,32,5,20,(42),2,13,11,19,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,81,GER,Germany,Max Koerner,GERMK101,,449,278,27,29,9,23,42,31,(45),(47),15,21,(40),19,10,5,21,9,17,(39) DNC,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,82,CHN,"China, PR",Zhang Heng,CHNZH8,,474,287,23,25,25,13,30,39,(42),(50),29,21,10,13,(42),(53) UFD,14,19,5,21,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,83,SVK,Slovak Republik,Robert Kubin,SVKRK1,,456,292,17,25,21,21,36,(56) UFD,(40),22,23,15,(37),27,(31),18,28 RDG,9,17,13,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,84,ESP,Spain,Antonio MEDINA RODRIGUEZ,ESPAM124,,453,296,34 DPI,11,(39) DNC,21,36,20,39,(40),13,15,(41),15,36,(37),37,7,9,3,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,85,POL,Poland,Maciej Dabek,POLMD21,,460,302,21,25,21,31,32,(41),(39),37,(39) DNC,(39) DNF,11,6,6,21,24,7,39 DNC,21,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,86,ESP,Spain,Sandro Portune,ESPSP16,,477,311,25,23,33,25,33,37,(47),(46),7,27,24,25,(34),12,30,(39) BFD,3,7,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,87,NED,Netherlands,Skip Brüll,NEDSB31,,500,322,35,(39) DNC,29,25,35,12,(43),31,29,7,22,(43),(53) DNC,23,23,23,19,9,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,88,BRA,Brazil,Guilherme Trainini Plentz,BRAGP15,,523,340,31,33,27,27,46,(48),24,(48),19,11,26,(49),17,(38),36,11,19,13,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,89,CHN,"China, PR",,,,496,340,(33),15,21,15,25,24,(34),33,27,19,17,22,13,(46),(43),31,39 BFD,39 BFD,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,90,MAR,Morocco,Lenny Achlif,MARLA2,,534,349,29,35,27,29,29,30,(52),(42),23,23,(48),14,(43),22,41,15,19,13,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,91,CRO,Croatia,Ian ANIC,CROIA4,,518,350,19,23,29,29,35,(46),(42),37,21,29,34,(41),21,2,15,29,27,(39) DNC,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,92,GER,Germany,Finley Evans,GERFE17,,528,351,29,33,33,27,31,38,(44),(49),15,9,(46),(38),24,29,16,27,17,23,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,93,MEX,Mexico,Jeronimo Abogado Irish Stephenson,MEXJA6,,515,355,25,25,33,27,24,(35),(47),27,(39) DNF,21,9,24,33,34,19,(39) BFD,29,25,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,94,ESP,Spain,Guillem Guillem,ESPGG16,,548,359,17,19,31,27,(56) RET,42,(48),44,15,17,39,10,37,(45),(40),15,29,17,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,95,NZL,New Zealand,Blake Hinsley,NZLBH11,,550,362,11,33,25,19,34,8,(51),(52),39 BFD,39 DNF,38,33,28,(41),(44),11,25,19,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,96,GRE,Greece,Alexandros KOKKINAKIS,GREAK70,,563,371,31,33,29,31,47,(53),(49),49,17,13,(44),(46),30,15,35,17,13,11,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,97,AUS,Australia,Matthew Quinlan,AUSMQ5,,549,373,25,27,29,11,42,(43),28,(47),25,15,36,39,(44),33,(42),39 BFD,5,19,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,98,CZE,Czechia,Simon Skrepek,CZESS4,,572.25,383.25,23,17,31,21,(56) UFD,36,(43),56 DNE,39 DNC,39 DNF,8,(42),11,(48),27.25 RDG,15,21,39 DNC,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,99,FRA,France,Lucas GADEYNE,FRALG59,,555,391,27,29,39 DNC,39 DNC,(41),(40),40,38,19,3,(43),(40),15,17,22,39 BFD,25,39 DNF,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,100,NOR,Norway,Jørgen Schulstock,NORJS27,,555,391,19,39 DNC,31,31,31,(51),37,(41),19,(39) DNC,(33),23,29,26,25,27,27,27,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,101,FRA,France,Constantin  Flotard,FRACF46,,547,394,33,31,31,(37),26,7,(37),36,13,23,28,36,26,(40),26,(39) DNC,39 DNC,39 DNC,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,102,GBR,Great Britain,,,,577,394,25,31,29,23,40,(48),(44),44 RDG,17,39 DNF,23,(45),(46),39,29,23,21,11,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,103,JPN,Japan,Takumi Kuragano,JPNTK48,,615,423,27,29,15,29,46,(50),46,(48),27,29,(47),44,45,(47),39,19,23,5,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,104,GBR,Great Britain,Charlie Baker,GBRCB137,,614,445,29,33,37,33,43,(46),(49),45,33,25,25,35,(38),(36),28,25,25,29,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,105,NOR,Norway,Felix Dybdahl,NORFD2,,667,471,33,31,35,33,49,(52),(51),50,11,31,45,(47),40,44,(46),39 BFD,15,15,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,106,NED,Netherlands,Max Castelein,NEDMC7,,682,499,(39) UFD,27,5,33,28,33,(38),19,39 DNC,39 DNC,(53) DNC,(53) DNC,53 DNC,53 DNC,53 DNC,39 DNC,39 DNC,39 DNC,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,107,IND,India,sachin ganesh,INDSG9,,737,528,35,35,35,35,47,49,(53),(53),39 DNF,19,(50),50,(53) UFD,49,48,29,31,27,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,108,DEN,Denmark,Christopher  Thannel-Frederiksen,DENCT12,,740,539,35,35,33,33,48,49,(52),(52),39 DNC,19,(49),(48),47,43,47,33,39 DNC,39 DNC,-,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,109,FRA,France,Félix Dary,FRAFD52,,840,622,39 DNC,39 DNC,39 DNC,39 DNC,(56) DNC,(56) DNC,56 DNC,56 DNC,39 DNC,39 DNC,(53) DNC,(53) DNC,53 DNC,53 DNC,53 DNC,39 DNC,39 DNC,39 DNC,-,-,-,-,-
