group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q (US),2Q (US),3Q (US),4Q (US),5Q (CR),6Q (CR),7Q (CR),8Q (CR),9F (SL),10F (SL),11F (SL),12F (SL),13F (CR),14F (CR),15F (CR),16F (CR),17F (SL),18F (SL),19F (SL),QF,SF,F1,F
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,15,ITA,Italy,Leonardo Tomasini,ITALT46,,284,162,7,1,5,3,(12),11,11,(24),29,23,19,9,(45),7,(41),10,7,5,15,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,16,GBR,Great Britain,Andy Brown,GBRAB164,,297,164,(15),15,1,15,10,(56) UFD,1,13,13,(37),(25),15,7,19,17,21,1,15,1,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,17,GBR,Great Britain,Duncan Monaghan,GBRDM107,,271,164,3,7,1,(11),4,(18),3,7,9,3,15,(39) BFD,24,34,25,(39),11,9,9,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,18,USA,United States of America,Makani Andrews,USAMA98,,308,165,1,(35),13,1,(38),10,9,9,(39) BFD,15,9,25,13,12,5,17,(31),5,21,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,19,BRA,Brazil,Mateus Isaac,BRAMI1,,311,172,9,(31),7,11,7,(36),15,3,9,(33),29,11,5,6,13,9,23,15,(39) DNF,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,20,FRA,France,Clement Bourgeois,FRACB67,,312,179,11,(21),3,3,9,16,18,(28),15,17,19,3,(48),(36),31,11,5,7,11,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,21,ISR,Israel,Tomer Vardimon,ISRTV1,,325,188,1,7,15,11,8,19,(28),(26),15,3,21,13,19,(39),(44),33,1,9,13,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,22,GBR,Great Britain,Mathew Barton,GBRMB124,,340,196,7,5,(23),11,15,3,(56) UFD,19,15,15,17,15,1,17,(34),26,3,(31),27,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,23,FRA,France,Côme Joly,FRACJ19,,385,199,9,7,11,7,(56) UFD,16,(56) UFD,14,(39) BFD,11,7,11,27,(35),18,30,7,11,13,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,24,NED,Netherlands,Hidde van der Meer,NEDHV34,,390,204,7,9,11,5,(56) UFD,11,(26),8,5,9,33,17,(58) UFD,(46),10,20,21,9,29,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,25,FRA,France,Adrien Mestre,FRAAM51,,326,208,(29),(21),7,9,16,7,20,17,(33),13,13,5,26,11,(35),7,15,23,19,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,26,FRA,France,Louis Pignolet,FRALP46,,352,217,13,5,(31),13,6,(26),25,21,(39) BFD,7,15,27,15,21,22,5,(39) DNF,13,9,-,-,-,-
