group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,R1,R3,R4,R5,R6
para,Para World Sailing Competition,2.4 Metre,Para Inclusive One Person Keelboat (2.4 Metre) - Para Men,Sneekweek - Hansa Liberty / 2.4 Metre,NED202607RTS,2026-08-01,2026-08-06,"Koninklijke Watersportvereniging Sneek, Netherlands",https://sailing.org/regatta/sneekweek-hansa-liberty-2-4-metre?ref=NED202607RTS,1,NED,Netherlands,Frank Havik,NEDFH16,,6,5,2,1,1,1,1
para,Para World Sailing Competition,2.4 Metre,Para Inclusive One Person Keelboat (2.4 Metre) - Para Men,Sneekweek - Hansa Liberty / 2.4 Metre,NED202607RTS,2026-08-01,2026-08-06,"Koninklijke Watersportvereniging Sneek, Netherlands",https://sailing.org/regatta/sneekweek-hansa-liberty-2-4-metre?ref=NED202607RTS,2,NED,Netherlands,Arend Pet,NEDAP2,,9,7,1,2,2,2,2
