group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(US),2Q(US),3Q(US),4Q(US),5Q(SL),6Q(SL),7Q(SL),8F(SL),9F(SL),10F(SL),11F(US),12F(US),13F(US),14F(US),15F(US),16F(SL),17F(SL),QF,SF,F1,F()
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,67,LAT,Latvia,Davis SKUTANS,LATDS1,,415,298,5,7,9,7,13,19,(39) DNC,(39) DNC,(39) DNC,39 DNC,33,33,39 DNC,19,15,33,27,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,68,TUR,Türkiye,Doruk Can,TURDC10,,405,302,23,17,23,17,13,11,(25),25,(39) DNC,(39) DNC,25,17,39 DNF,23,29,29,11,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,69,HKG,"Hong Kong, China",Tzar sum Jason  Yung,HKGTY4,,399,304,13,13,11,9,9,(17),15,33,(39) DNC,23,33,31,(39) DNF,35,27,31,21,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,70,POL,Poland,Antoni Myszka,POLAM36,,415,306,9,21,17,15,21,15,(39) DNC,19,25,(39) DNC,29,(31),21,31,31,21,31,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,71,GER,Germany,Levi Sümmchen,GERLS110,,409,308,11,13,15,13,17,(23),17,(39) BFD,(39) DNC,25,27,11,39 DNC,31,25,29,35,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,72,ESP,Spain,,,,421,320,17,17,(27),19,9,13,17,(35),(39) DNC,33,31,31,21,23,29,27,33,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,73,ESP,Spain,Jan Casañas,ESPJC144,,439,332,25,9,19,11,3,25,(29),(39) BFD,(39) DNC,31,35,33,29,29,33,33,17,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,74,SGP,Singapore,John Wong,SGPJW1,,445,336,21,13,(31),21,11,7,13,(39) BFD,(39) DNC,39 BFD,27,37,33,25,25,25,39 DNC,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,75,SWE,Sweden,,,,463,346,9,11,19,15,25,17,(39) DNC,(39) DNC,(39) DNC,39 DNC,37,23,39 DNC,21,39 DNC,29,23,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,76,GRE,Greece,Michael Korovesis,GREMK30,,157,118,21,19,21,23,9,19,(39) DNF,3,3,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,77,GBR,Great Britain,Oliver Ebdon,GBROE9,,159,120,23,19,11,31,(39) BFD,21,11,1,3,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,78,JPN,Japan,Masato Kozono,JPNMK47,,151,124,17,(27),25,17,21,17,21,5,1,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,79,GRE,Greece,Evagelos Giannakopoulos,GREEG10,,161,130,(31),29,29,15,11,17,15,9,5,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,80,GER,Germany,Paul Regber,GERPR36,,171,132,31,11,9,13,(39) BFD,21,39 DNC,3,5,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,81,GER,Germany,Noah Schmäh,GERNS62,,165,134,21,23,29,13,17,(31),13,9,9,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,82,GRE,Greece,DIMITRIOS EVANGELLOS MORAITIS,GREDM14,,173,134,15,25,13,13,15,25,(39) DNF,19,9,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,83,ISR,Israel,Shahar Sherf,ISRSS12,,175,136,(39) UFD,39 UFD,39 DNC,9,13,11,19,5,1,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,84,ESP,Spain,,,,165,136,15,(29),17,21,21,13,21,11,17,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,85,SUI,Switzerland,Mark Benczur,SUIMB45,,177,138,25,27,23,19,(39) BFD,23,7,3,11,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,86,PHI,Philippines,dhenver john castillo,PHIDC1,,179,140,(39) DNC,19,19,37,19,23,13,9,1,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,87,SUI,Switzerland,Luca Györvary Denys,SUILG13,,165,140,19,11,21,(25),21,19,19,15,15,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,88,AUT,Austria,Georg Böckl,AUTGB7,,181,142,25 RDG,(39) UFD,5,39 UFD,39 BFD,21,7,3,3,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,89,GER,Germany,Gustav Pöschke,GERGP14,,181,142,29,9,23,(39) DSQ,15,17,31,7,11,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,90,SUI,Switzerland,Raphaël Kobel,SUIRK4,,185,146,(39) DSQ,25,29,17,23,15,25,7,5,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,91,ESP,Spain,Miquel Servera,ESPMS65,,177,146,29,17,(31),27,15,15,17,21,5,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,92,URU,Uruguay,Máximo Ortiz,URUMO1,,179,148,19,(31),17,25,19,31,29,1,7,-,-,-,-,-,-,-,-,-,-,-,-
