group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,21,EST,Estonia,Brigitta Vilo,ESTBV4,,233,185
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,22,TUR,Türkiye,Duru Alpkökin,TURDA20,,238,188
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,23,ITA,Italy,Livia Beltrano,ITALB128,,237,199
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,24,GRE,Greece,FRAGKISKI  KOSMA,GREFK8,,263,215
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,25,ESP,Spain,Mireia Garriga,ESPMG95,,258,215
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,26,GER,Germany,Johanna Jacobs,GERJJ23,,278,216
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,27,NED,Netherlands,Amber Knape,NEDAK22,,279,217
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,28,POL,Poland,Kinga Szlachetka,POLKS54,,265,220
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,29,USA,United States of America,Paloma Arrigo,USAPA58,,258,221
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,30,AUS,Australia,Ava Wilson,AUSAW39,,283,226
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,31,SUI,Switzerland,Leanne Turrin,SUILT5,,286,230
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,32,JPN,Japan,Talia Hamlin,JPNTH29,,269,236
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,33,NED,Netherlands,Maud van Rooij,NEDMV117,,294,237
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,34,ESP,Spain,Clara  Garcia mischker,ESPCG38,,298,243
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,35,USA,United States of America,Louise Martin,USALM118,,301,248
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,36,SWE,Sweden,Stina Westberg,SWESW14,,312,254
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,37,GBR,Great Britain,Jessica Powell,GBRJP140,,310,255
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,38,ITA,Italy,Charlotte  Bob,ITACB114,,308,261
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,39,CAY,Cayman Islands,Ciara Murphy,CAYCM1,,319,267
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,40,GBR,Great Britain,Florence Tovey,GBRFT10,,328,272
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,41,ESP,Spain,Francisca  Puig Bonet,ESPFP47,,321,272
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,42,JPN,Japan,Maki Toyozumi,JPNMT35,,327,278
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,43,CAN,Canada,Maya  Wolf,CANMW36,,340,279
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,44,USA,United States of America,Daniella Cheng-Sun,USADC212,,329,282
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,45,POL,Poland,Lena Adamska,POLLA1,,341,285
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,46,ESP,Spain,BLANCA FERRANDO BABE,ESPBF11,,346,285
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,47,NOR,Norway,Hanna Tvete,NORHT13,,357,295
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,48,POR,Portugal,Maria Figueiredo,PORMF22,,356,302
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,49,CRO,Croatia,Tanja Ozretić,CROTO1,,368,306
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,50,CRO,Croatia,Nika Fornažar,CRONF2,,370,310
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,51,POL,Poland,Antonina Chomont,POLAC18,,370,310
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,52,SWE,Sweden,Adele Ramm-Ericson,SWEAR21,,371,312
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,53,GER,Germany,Anna Kleehammer,GERAK71,,377,318
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,54,POR,Portugal,Mafalda Teixeira,PORMT9,,382,320
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,55,GER,Germany,Johanna Brinkmann,GERJB130,,390,328
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,56,FIN,Finland,Iiris Sepponen,FINIS5,,385,334
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,57,POL,Poland,Martyna  Stachowiak,POLMS96,,400,338
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,58,GBR,Great Britain,Chloe Grayton,GBRCG71,,396,343
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,59,DEN,Denmark,Astrid Hedegaard,DENAH20,,409,352
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,60,SUI,Switzerland,Marietta Mäder,SUIMM18,,429,371
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,61,GBR,Great Britain,Isla Todd,GBRIT14,,450,391
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,62,GER,Germany,Anneli Stengel,GERAS104,,191,149
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,63,USA,United States of America,Kailee Moure,USAKM210,,205,165
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,64,GRE,Greece,KALLIOPI GKARI,GREKG11,,251,195
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,65,EST,Estonia,Mari Ottesson,ESTMO5,,269,207
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,66,CAN,Canada,Alice Wan,CANAW33,,261,210
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,67,GER,Germany,Luisa Helene Kloss,GERLK74,,259,211
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,68,GRE,Greece,MICHAELA MELANITI,GREMM30,,277,218
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,69,AUT,Austria,Aenna Hartenberger,AUTAH10,,281,221
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,70,USA,United States of America,Maia Lim Laurie,USAML207,,289,238
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,71,TUR,Türkiye,Naz Tulumcu,TURNT2,,289,242
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,72,FIN,Finland,Astrid Hamel,FINAH17,,311,250
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,73,CAN,Canada,Aria Miller,CANAM71,,306,253
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,74,USA,United States of America,Marina Wardlaw,USAMW178,,318,256
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,75,BAH,Bahamas,Mary Nash,BAHMN1,,306,259
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,76,USA,United States of America,Simone Reck,USASR120,,310,259
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,77,USA,United States of America,Catherine  Baldwin,USACB318,,312,261
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,78,CZE,Czechia,Tatiana Belunkova,CZETB2,,328,266
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,79,ITA,Italy,Roberta MESCHINO,ITARM86,,330,271
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,80,USA,United States of America,Gabriela Mascarenhas,USAGM126,,330,274
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,81,USA,United States of America,Siena Nichols,USASN42,,343,281
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,82,NOR,Norway,Oda Johanne Jacobsen Lepperoed,NOROJ6,,345,283
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,83,NED,Netherlands,Kiki  Wismeijer,NEDKW4,,335,286
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,84,CZE,Czechia,Roxie Berta Bartuskova,CZERB5,,348,295
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,85,SWE,Sweden,Elin Sundberg,SWEES28,,346,296
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,86,GER,Germany,Victoria Loeck,GERVL12,,374,312
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,87,GER,Germany,Maja Jacob,GERMJ36,,365,312
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,88,ITA,Italy,GIULIA TESSITORE,ITAGT109,,364,314
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,89,GRE,Greece,ANNA PEPPA,GREAP79,,374,317
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,90,NOR,Norway,Ada Gilbo,NORAG7,,380,318
youth,Class Youth World Championship,ILCA 6,ILCA 6 Women,ILCA 6 Youth World Championships,USA202507AJ8,2026-08-11,2026-08-19,"Aarhus, Denmark",https://sailing.org/regatta/ilca-6-youth-world-championships?ref=USA202507AJ8,91,HKG,"Hong Kong, China",Ziyan Huang,HKGZH2,,372,319
