event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 Gold,R8 Gold,R9 Gold,R10 Gold,R11 Gold,R12 Gold,R13 Gold,R14 Gold,R15 Gold,R16 Gold,R17 Gold,C/F Medal,F1 Medal,F2 Medal
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,26,POL,Poland,Ewa Lewandowska / Anna Zwara,POLAZ15 / POLEL1,POL 771,137,119,12,(18),7,17,7,16,15,4,3,6,12,4,1,15,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,27,GBR,Great Britain,Flo Brellisford / Sophie Raven,GBRSR118 / GBRFB20,GBR 148,166,147,14,15,17,10,12,18,9,16,6,(19),4,7,14,5,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,28,CZE,Czechia,Zofia Burska / Sara Tkadlecova,CZEZB1 / CZEST3,CZE 138,171,147,18,(24),23,16,14,12,1,11,4,5,15,3,3,22,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,29,GER,Germany,Moja Maru Scheel / Freya Feilcke,GERFF20 / GERMS139,GER 22,176.2,155.2,11,7,13.2 RDG,20,(21),7,11,18,13,10,10,17,11,7,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,30,GBR,Great Britain,Isabelle Fellows / Felicity Brellisford,GBRIF12 / GBRFB19,GBR 214,180,157,16,12,13,12,19,11,13,5,18,(23),3,14,20,1,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,31,SWE,Sweden,Alice Moss / Klara Johansson,SWEAM17 / SWEKJ7,SWE 464,180,158,17,(22),21,21,17,13,12,9,7,3,9,2,8,19,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,32,ESP,Spain,Paula Barcelo Martin / Maria Cantero Izquierdo,ESPPB22 / ESPMC35,ESP 76,187,159,8,9,8,(28) DNS,28 DNC,28 DNC,3,21,1,22,5,6,12,8,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,33,EST,Estonia,Helen Pais / Helen Ausman,ESTHP6 / ESTHA1,EST 305,187,163,19,10,12,15,(24),17,4,6,16,14,22,13,9,6,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,34,SWE,Sweden,Maja Hansson-Mild / Linn Berntsson,SWEMH50 / SWELB22,SWE 117,192,170,13,18,12,(22),21,19,8,10,9,7,18,22,10,3,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,35,ESP,Spain,Alicia Fras Samson / Elena Barrio Garcia,ESPEB16 / ESPAF74,ESP 73,190,170,19,16,9,12,19,5,14,12,(20),20,11,11,13,9,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,36,GBR,Great Britain,Katy Jenkins / Amelie Hiscocks,GBRKJ14 / GBRAH170,GBR 713,201,175,21,17,13,18,15,15,7,17,15,4,25,(26),4,4,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,37,AIN,Individual Neutral Athletes,Victoria Liksanova / Diana Sabirova,AINXDS1 / AINXVL1,AIN 842,203,178,22,(25),16,13,15,21,19,19,25,1,1,8,7,11,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,38,USA,United States of America,Madeline Hawkins / Lillian Myers,USALM84 / USAMH193,USA 562,203,179,15,17,19,18,20,23,2,1,5,18,(24),15,24,2,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,39,HUN,Hungary,Boroka Feher,HUNBF10,HUN 747,204,180,(24),19,22,16,16,24,6,2,11,12,2,16,21,13,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,40,ESP,Spain,Patricia Suarez / Melania Henke Riera,ESPMH6 / ESPPS19,ESP 21,208,180,9,20,21,(28) RET,28 DNC,22,5,7,2,11,17,18,6,14,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,41,HKG,"Hong Kong, China",Emily Polson / TIffany Mak,HKGEP1 / HKGTM2,HKG 888,203,180,20,14,14,17,18,14,20,14,(23),2,13,9,2,23,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,42,ESP,Spain,Stella Enriquez / Nicola Sadler,ESPSE6 / RSANS2,ESP 313,220,190,14,24,4,22,14,20,(30) BFD,3,8,17,20,1,25,18,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,43,IRL,Ireland,Erin Mc Ilwaine / Ellen Barbour,IRLEM43 / GBREB51,IRL 107,235,205,18,15,19,9,20,17,(30) BFD,23,21,8,6,20,17,12,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,44,GBR,Great Britain,Annabelle Vines / Isobel Smith,GBRIS41 / GBRAV7,GBR 123,269,239,20,19,22,21,28 DNC,28 DNC,(30) BFD,27,14,9,14,5,22,10,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,45,SLO,Slovenia,Alja Petric / Tarin Pecar,SLOAP3 / SLOTP4,SLO 818,278,248,23,20,28 DNF,28 DNC,28 DNC,28 RET,(30) BFD,8,17,13,8,12,19,16,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,46,NZL,New Zealand,Nicola Hume / Rebecca Hume,NZLNH7 / NZLRH12,NZL 722,277,249,17,21,2,20,10,20,16,26,26,26,(28),25,16,24,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,47,NED,Netherlands,Lucia Cullen / Anna Korevaar,NEDAK26 / IRLLC10,NED 644,299,271,(28) DNC,28 DNC,28 DNC,13,18,28 DNF,21,20,19,15,23,19,18,21,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,48,AUT,Austria,Eva  Truttenberger / Livia Farese,AUTET2 / AUTLF5,AUT 116,304,276,25,23,20,(28) DNS,28 DNC,28 DNC,10,22,24,16,21,24,15,20,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,49,SWE,Sweden,Selma Hård / Ellen Fredriksson,SWEEF4 / SWESH20,SWE 222,317,287,22,25,23,28 DNF,28 DNC,28 DNC,18,15,10,21,16,23,(30) DNC,30 DNC,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,50,GBR,Great Britain,Eve Kennedy / Alicia  Biggs,GBRAB221 / GBREK8,GBR 647,324,296,21,22,18,(28) DNF,28 DNC,28 DNC,22,24,27,28,7,28,26,17,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,51,AUS,Australia,Darcy Robbins / Eva Attwood,AUSDR31 / AUSEA11,AUS 172,331,301,28 DNC,28 DNC,28 DNC,28 DNS,23,28 DNC,(30) BFD,13,12,27,27,10,23,26,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,52,JPN,Japan,Saki Matsunae / Eri Hatayama,JPNSM10 / JPNEH3,JPN 803,342,312,25,23,20,28 DNF,28 RET,28 RET,(30) DNC,30 DNC,30 DNC,24,19,27,5,25,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,53,PUR,Puerto Rico,Isabella Calzadilla Allora / Mercedes Delgado,PURIC1 / PURMD4,PUR 787,350,322,24,(28) OCS,24,28 DNC,28 DNC,28 DNC,17,25,22,25,26,21,27,27,-,-,-,-,-,-
49erFX Women,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,54,AUT,Austria,Rosa Donner / Marion Lafrance-Berger,AUTML11 / AUTRD4,AUT 102,393,363,28 DNF,28 DNC,28 DNC,28 DNC,22,19,(30) DNC,30 DNC,30 DNC,30 DNC,30 DNC,30 DNC,30 DNC,30 DNC,-,-,-,-,-,-
