event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(CR),2Q(CR),3Q(CR),4Q(CR),5Q(CR),6Q(CR),7Q(CR),8Q(CR),9F(CR),10F(CR),11F(CR),12F(SL),13F(SL),14F(SL),15F(SL),16F(CR),QF,SF,F1,F()
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,89,CYP,Cyprus,Iakovos Christofides,CYPIC3,,472.71,342.71,38.71 RDG,42,(44),38,31,29,(45),42,33,23,19,15,15,17,(41) DNC,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,90,NOR,Norway,Jørgen Schulstock,NORJS27,,475,344,33,(51),33,(39),31,27,39,32,34,39,(41) DNC,19,11,17,29,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,91,THA,Thailand,Nitiphat Chaiwuttiwet,THANC2,,476,345,30,(46),(44),28,30,32,40,41,21,37,(41) DNC,31,29,9,17,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,92,POR,Portugal,Ricardo Correia,PORRC17,,500,348,31,(47),34,39,(46),39,33,35,40,(59) DNC,23,33,19,15,7,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,93,HUN,Hungary,Máté Kossovics,HUNHK1,,505,354,47,45,39,(60) RET,(60) DNC,47,31,36,20,15,27,21,19,(31),7,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,94,SUI,Switzerland,Devin Hauser,SUIDH9,,491,362,34,(48),41,(45),45,44,32,43,(36),26,13,19,27,19,19,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,95,BRA,Brazil,Guilherme Trainini Plentz,BRAGP15,,516.43,375.43,45.43 RDG,39,(51),(49),44,47,48,40,17,7,13,17,17,(41) BFD,41 DNC,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,96,GER,Germany,Finley Evans,GERFE17,,532,379,27,37,43,43,30,(46),38,(48),(59) DNF,36,21,29,21,13,41 DNC,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,97,JPN,Japan,Takumi Kuragano,JPNTK48,,537.57,392.57,47.57 RDG,46,47,(48),(55),43,46,47,(42),19,15,17,17,25,23,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,98,NED,Netherlands,Skip Brüll,NEDSB31,,535,395,38,42,45,41,(49),39,(50),36,31,29,25,25,21,(41) BFD,23,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,99,JPN,Japan,Gakushi Takeda,JPNGT4,,540.14,400.14,46.14 RDG,44,45,45,(51),46,(48),44,26,24,(41) DNC,21,9,23,27,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,100,ARG,Argentina,Franco Cazamajou,ARGFC24,,586.29,426.29,51.29 RDG,(55),(57),53,43,50,52,47,(48),43,19,17,11,19,21,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,101,NOR,Norway,Felix Dybdahl,NORFD2,,592.29,438.29,53.29 RDG,(60) UFD,53,(56),53,48,52,50,(38),20,17,23,13,27,29,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,102,AIN,Individual Neutral Athletes,Vladislav Burmistrenko,AINXVB2,,592,444,49,44,47,47,43,(50),(57),49,39,30,15,19,(41) DNF,41 BFD,21,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,103,GRE,Greece,Leonidas Efstathiou,GRELE1,,628,477,(50),40,49,50,39,(51),41,46,37,(50),41 DNC,25,41 DNC,27,41 DNC,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,104,FRA,France,,,,645,478,(48),43,37,48,(60) DNC,45,27,46,27,(59) DNC,41 DNC,41 DNC,41 DNC,41 DNC,41 DNC,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,105,ALG,Algeria,RAMZI BOUJATIT,ALGRB2,,660,484,51,55,(57),54,(60) DNF,55,54,52,46,(59) DNC,27,29,23,23,15,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,106,ALG,Algeria,Rami BOUDROUMA,ALGRB1,,664.14,499.14,56.14 RDG,57,(58),57,54,54,(59),53,47,(48),25,23,41 DNF,21,11,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,107,THA,Thailand,Wachirawit Manbumrung,THAWM3,,667,501,53,(56),(56),56,50,53,50,51,(54),47,27,29,33,25,27,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,108,CRO,Croatia,Mateo Uvodic,CROMU5,,672,504,(54),52,53,(55),47,52,47,49,(59) DNF,45,29,35,41 DNC,25,29,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,109,IND,India,Aditya Sangwan,INDAS30,,674.71,506.71,49.71 RDG,52,(54),(55),44,49,49,45,41,(59) UFD,41 DNC,31,31,33,41 DNC,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,110,JPN,Japan,Takashi Inoue,JPNTI32,,678,514,(60) STP,51,52,53,48,55,58,(60) UFD,(44),38,41 DNF,37,23,39,19,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,111,THA,Thailand,Ratcharnon  Khunjeng,THARK3,,690.71,523.71,55.71 RDG,(58),56,(58),51,57,55,54,(51),44,23,27,41 DNF,29,31,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,112,TUR,Türkiye,Ali Markus Bekisoglu,TURAB22,,690.71,528.71,52.71 RDG,(56),55,51,(60) DNC,52,49,45,45,(46),41 DNC,41 DNC,41 DNC,31,25,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,113,THA,Thailand,WACHIRAWIT THONUP,THAWT2,,695,529,52,54,54,(60) DNC,52,(56),56,55,(50),49,41 DNC,27,41 DNC,37,11,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,114,FRA,France,Emile Roullet,FRAER16,,710.43,531.43,48.43 RDG,34,32,33,(60) DNC,(60) DNC,60 DNC,60 DNC,(59) DNC,59 DNC,41 DNC,41 DNC,41 DNC,41 DNC,41 DNC,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,115,POR,Portugal,Belchior  Neves,PORBN4,,700.5,537.5,55.5 RDG,54,(60) DNC,52,(60) DNC,53,54,52,(43),42,41 DNF,23,41 DNC,29,41 DNC,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,116,POR,Portugal,,,,715,541,(57),50,(58),52,49,51,51,48,49,(59) DNS,41 DNC,41 DNC,41 DNF,41 BFD,27,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,117,DEN,Denmark,Christopher  Thannel-Frederiksen,DENCT12,,742,567,(56),53,55,51,(60) DNF,54,53,50,52,(59) DNC,41 DNC,41 DNC,41 DNC,35,41 DNC,-,-,-,-,-
