event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(CR),2Q(CR),3Q(CR),4Q(CR),5Q(CR),6Q(CR),7Q(CR),8Q(CR),9F(CR),10F(CR),11F(CR),12F(SL),13F(SL),14F(SL),15F(SL),16F(CR),QF,SF,F1,F()
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,29,ESP,Spain,Bernat Tomas Cardell,ESPBT4,,371.67,189.67,(60) UFD,2,15,20,5,9,(24),16,37.67 RDG,(38),(60) UFD,23,15,9,23,15,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,30,ISR,Israel,Yoav Cohen,ISRYC2,,367,193,16,4,10,9,(17),7,5,(60) UFD,26,32,(60) UFD,21,27,(37),13,23,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,31,NED,Netherlands,Max Castelein,NEDMC7,,364.34,197.34,23,10,3,24,(25),12,(42),10,38.34 RDG,15,(60) UFD,15,19,3,25,(40),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,32,FRA,France,Louis Pignolet,FRALP46,,362,202,15,8,18,(33),4,(25),8,19,5,39,(60) UFD,9,41 BFD,19,17,(42),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,33,HKG,"Hong Kong, China",Ching Yin Cheng,HKGCC8,,370,202,8,11,8,(28),8,(28),22,9,32,(52),(60) UFD,13,11,25,25,30,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,34,USA,United States of America,Makani Andrews,USAMA98,,359,207,10,23,10,15,11,(30),(44),25,9,35,31,31,(41) DNC,1,(37),6,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,35,FRA,France,Adrien Mestre,FRAAM51,,426,212,(60) DSQ,(34),4,5,23,4,25,20,(60) RET,25,(60) UFD,17,33,23,19,14,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,36,HKG,"Hong Kong, China",Jason Au,HKGJA2,,365,213,(42),33,31,29,13,(34),18,24,10,(49),(27),15,13,17,3,7,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,37,GBR,Great Britain,Sam Sills,GBRSS56,,350,219,2,14,16,(23),19,18,1,(23),(33),24,33,25,25,11,31,(52),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,38,NED,Netherlands,Kiran Badloe,NEDKB8,,426,219,9,12,2,16,13,23,(30),(60) DNC,27,(57),(60) UFD,41 BFD,11,11,3,51,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,39,CHN,"China, PR",,,,375,223,26,7,23,(32),20,11,(29),14,38,(48),10,7,41 BFD,15,11,(43),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,40,POL,Poland,Igor Lewinski,POLIL2,,372,225,14,(26),(37),21,19,18,3,11,40,(43),17,(41) BFD,25,9,21,27,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,41,TUR,Türkiye,Onur Cavit Biriz,TURCB7,,353,230,(23),13,(24),22,14,10,17,22,31,19,23,(35),(41) BFD,5,41 BFD,13,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,42,LTU,Lithuania,Rytis Jasiunas,LTURJ1,,378,238,6,11,(22),13,(24),20,2,18,(53),21,25,(41) BFD,17,33,41 BFD,31,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,43,SUI,Switzerland,Elia Colombo,SUIEC2,,440,251,(34) RDG,31,19,19,18,25,13,(60) UFD,(35),12,12,33,19,21,29,(60) DNC,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,44,GBR,Great Britain,Mathew Barton,GBRMB124,,417,255,25,15,17,18,16,(37),15,(28),34,(37),(60) UFD,19,35,31,19,11,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,45,FRA,France,Fabien Pianazza,FRAFP29,,407,259,7,17,(29),23,27,20,(42),25,(36),26,8,31,23,(41) BFD,35,17,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,46,FRA,France,Gaspard Carfantan,FRAGC54,,408,259,(37),23,14,12,(38),8,17,21,(32) RDG,(42),22,27,23,31,29,32,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,47,ARU,Aruba,Ethan Westera,ARUEW3,,412,262,19,13,(21),18,21,13,19,(23),30,23,(60) UFD,23,41 BFD,35,7,(46),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,48,ITA,Italy,Mattia Saoncella,ITAMS191,,427,263,28,21,(35),27,(36),16,20,27,(49),33,21,9,21,15,25,(44),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,49,SVK,Slovak Republik,Robert Kubin,SVKRK1,,447,276,19,(32),26,29,20,4,(31),15,(50),(58),19,37,27,27,27,26,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,50,THA,Thailand,William McMillan,THAWM1,,449,290,17,(39),24,3,37,24,(38),26,25,28,15,(41) DNC,33,27,31,(41),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,51,FRA,France,Titouan Fasquelle,FRATF17,,482,294,20,22,(40),(44),39,38,9,17,(54),(50),18,15,25,41 BFD,31,19,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,52,SLO,Slovenia,Val Erzen,SLOVE1,,486,298,33,29,15,15,(50),31,(37),24,21,(56),26,25,31,21,27,(45),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,53,SUI,Switzerland,Sebastian Scharer,SUISS16,,479,312,25,17,25,(26),10,26,(34),12,48,(51),29,41 DNC,13,33,33,(56),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,54,AUS,Australia,Philip Cripsey,AUSPC55,,484,317,22,26,17,21,15,(31),30,(32),28,(54),34,41 DNC,29,41 BFD,13,(50),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,55,ITA,Italy,Francesco Forani,ITAFF107,,492,321,34 RDG,29,(36),30,(36),9,16,31,(52),(47),35,13,29,25,33,37,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,56,FRA,France,Hoël Quintric,FRAHQ3,,492,321,(36),25,(36),30,27,17,16,22,(46),44,30,21,23,31,35,(53),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,57,GBR,Great Britain,William Ziegler,GBRWZ1,,506,321,21,25,25,26,(40),22,29,(37),(55),(53),20,35,31,25,29,33,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,58,NED,Netherlands,Hidde van der Meer,NEDHV34,,528,346,26,5,4,(27),12,(35),8,7,(60) DNC,(60) DNC,60 DNC,41 DNC,41 DNC,41 DNC,41 DNC,60 DNC,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,59,ISR,Israel,gur prag,ISRGP4,,536,362,(43),37,29,11,12,(49),40,18,37,36,28,37,(41) BFD,(41) DNC,41 DNC,36,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,60,CHN,"China, PR",Hao Chen,CHNCC7,,295,179,21,30,20,42,24,(60) UFD,25,(44),1,(12),1,1,4 RDG,7,3,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,61,LAT,Latvia,Davis Mazais,LATDM2,,262,183,24,27,(32),25,22,(32),28,28,6,1,(15),1,3,9,9,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,62,JPN,Japan,Kensei Ikeda,JPNKI31,,315,209,24,(48),40,31,28,(43),23,37,4,4,11,3,1,3,(15),-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,63,SWE,Sweden,Vidar Nystrom,SWEVN1,,305,215,32,(36),28,24,26,(36),28,29,(18),3,9,11,7,13,5,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,64,EST,Estonia,Aksel Haava,ESTAH6,,337,220,34 RDG,33,27,25,(35),15,(41),19,12,27,1,3,5,19,(41) DNC,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,65,FRA,France,Maxime Parisse,FRAMP103,,345,220,22,22,31,(37),28 RDG,28 RDG,28 RDG,(60) DNC,(28),6,7,13,13,11,11,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,66,CZE,Czechia,David Drda,CZEDD3,,378,233,34 RDG,21,21,34,17,(60) RET,(44),27,2,25,(41) DNC,5,41 UFD,5,1,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,67,ESP,Spain,Sandro Portune,ESPSP16,,346.28,242.28,27,18,(42),30.28 RDG,(37),37,22,29,5,16,(25),15,9,21,13,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,68,ESP,Spain,Antonio MEDINA RODRIGUEZ,ESPAM124,,366.43,242.43,34.43 RDG,30,39,(42),34,28,27,(41),13,11,3,1,(41) UFD,21,1,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,69,HKG,"Hong Kong, China",ASGAR KIKABHOY,HKGAK1,,358,247,28,41,(46),40,26,41,(51),34,(14),2,1,9,1,11,13,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,70,SUI,Switzerland,Loïc Huguenin,SUILH8,,348,248,29,(38),30,(35),25,29,18,35,22,22,9,(27),19,3,7,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,71,GRE,Greece,Alexandros KOKKINAKIS,GREAK70,,383,267,45,36,(46),36,41,42,(53),30,11,8,(17),11,1,1,5,-,-,-,-,-
