event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q,2Q,3Q,4Q,5Q,6F,7F,8F,9F,10F,11F,MR
470 Mixed,470 Open European Championships,TUR202209OHW,2023-05-12,2023-05-20,"San Remo, Italy",https://sailing.org/regatta/470-open-european-championships?ref=TUR202209OHW,1,SWE,Sweden,Anton Dahlberg / Lovisa Karlsson,SWELK8 / SWEAD5,,71,50,1,(21),5,4,1,1,4,2,5,9,4,14
470 Mixed,470 Open European Championships,TUR202209OHW,2023-05-12,2023-05-20,"San Remo, Italy",https://sailing.org/regatta/470-open-european-championships?ref=TUR202209OHW,2,GER,Germany,Simon Diesch / Anna Markfort,GERSD8 / GERAM23,,64,51,12,3,1,1,1,5,8,5,(13),1,2,12
470 Mixed,470 Open European Championships,TUR202209OHW,2023-05-12,2023-05-20,"San Remo, Italy",https://sailing.org/regatta/470-open-european-championships?ref=TUR202209OHW,3,FRA,France,Hippolyte Machetti / Aloise Retornaz,FRAHM11 / FRARA10,,73,53,6,4,1,7,2,9,2,7,(20),6,1,8
470 Mixed,470 Open European Championships,TUR202209OHW,2023-05-12,2023-05-20,"San Remo, Italy",https://sailing.org/regatta/470-open-european-championships?ref=TUR202209OHW,4,FRA,France,Camille Lecointre / Jeremie Mion,FRACL7 / FRATM11,,71,58,2,7,2,3,4,2,(13),10,3,12,11,2
470 Mixed,470 Open European Championships,TUR202209OHW,2023-05-12,2023-05-20,"San Remo, Italy",https://sailing.org/regatta/470-open-european-championships?ref=TUR202209OHW,5,ESP,Spain,Jordi Xammar Hernandez / Nora Brugman Cabot,ESPJX1 / ESPNB2,,77,62,5,2,3,6,(15),3,10,4,2,8,3,16
470 Mixed,470 Open European Championships,TUR202209OHW,2023-05-12,2023-05-20,"San Remo, Italy",https://sailing.org/regatta/470-open-european-championships?ref=TUR202209OHW,6,AUT,Austria,Lara Vadlau / Lukas Maehr,AUTVL1 / AUTLM1,,82,66,5,(16),4,9,6,8,3,1,1,4,7,18
470 Mixed,470 Open European Championships,TUR202209OHW,2023-05-12,2023-05-20,"San Remo, Italy",https://sailing.org/regatta/470-open-european-championships?ref=TUR202209OHW,7,ITA,Italy,Giacomo Ferrari / Bianca Caruso,ITABC13 / ITAGF75,,103,90,7,7,9,(13),7,11,1,13,9,7,9,10
470 Mixed,470 Open European Championships,TUR202209OHW,2023-05-12,2023-05-20,"San Remo, Italy",https://sailing.org/regatta/470-open-european-championships?ref=TUR202209OHW,8,JPN,Japan,Keiju Okada / Miho Yoshioka,JPNKO14 / JPNMY16,,126,100,3,8,8,4,2,13,24,17,12,5,(26),4
470 Mixed,470 Open European Championships,TUR202209OHW,2023-05-12,2023-05-20,"San Remo, Italy",https://sailing.org/regatta/470-open-european-championships?ref=TUR202209OHW,9,ESP,Spain,Silvia Mas / Nicolas Rodriguez,ESPNR4 / ESPSS11,,124,100,10,11,6,14,11,(24),18,8,8,2,6,6
470 Mixed,470 Open European Championships,TUR202209OHW,2023-05-12,2023-05-20,"San Remo, Italy",https://sailing.org/regatta/470-open-european-championships?ref=TUR202209OHW,10,ISR,Israel,Nitai Hasson / Noa Lasry,ISRNL2 / ISRNH3,,124,107,(17),5,12,5,3,12,12,14,16,3,5,20
470 Mixed,470 Open European Championships,TUR202209OHW,2023-05-12,2023-05-20,"San Remo, Italy",https://sailing.org/regatta/470-open-european-championships?ref=TUR202209OHW,11,GER,Germany,Theresa Loffler / Christopher Hoerr,GERCH41 / GERTL23,,120,97,1,1,18,15,6,10,7,(23),6,17,16,-
470 Mixed,470 Open European Championships,TUR202209OHW,2023-05-12,2023-05-20,"San Remo, Italy",https://sailing.org/regatta/470-open-european-championships?ref=TUR202209OHW,12,POR,Portugal,Diogo Costa / Carolina Joao,PORDC11 / PORCJ1,,142,108,3,6,10,10,3,17,5,(34) DSQ,18,13,23,-
470 Mixed,470 Open European Championships,TUR202209OHW,2023-05-12,2023-05-20,"San Remo, Italy",https://sailing.org/regatta/470-open-european-championships?ref=TUR202209OHW,13,AUS,Australia,Nia Jerwood / Conor Nicholas,AUSNJ5 / AUSCN6,,130,110,18,19,7,1,9,14,19,9,4,10,(20),-
470 Mixed,470 Open European Championships,TUR202209OHW,2023-05-12,2023-05-20,"San Remo, Italy",https://sailing.org/regatta/470-open-european-championships?ref=TUR202209OHW,14,ITA,Italy,Elena Berta / Bruno Festo,ITABF20 / ITAEB35,,143,119,9,15,4,6,5,19,17,11,(24),23,10,-
470 Mixed,470 Open European Championships,TUR202209OHW,2023-05-12,2023-05-20,"San Remo, Italy",https://sailing.org/regatta/470-open-european-championships?ref=TUR202209OHW,15,GER,Germany,Malte Winkel / Anastasiya Winkel,GERMW22 / UKRAK17,,155,121,14,12,7,(34) DNC,12,7,11,19,15,11,13,-
