event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14 Medal
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,16,JPN,Japan,Shibuki Iitsuka / Capiglia Oura Nishida,JPNSI7 / JPNON1,JPN 536,226,187,18,7,22,19,13,10,19,(39) BFD,25,7,11,20,16,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,17,AUS,Australia,Jake Liddell / Lucy Copeland,AUSJL33 / AUSLC18,AUS 28,228,191,26,10,17,15,12,(37),12,22,24,5,8,21,19,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,18,BRA,Brazil,Joao Siemsen / Marina Arndt,BRAJS7 / BRAMA17,BRA 64,234,203,24,15,12,11,18,19,21,15,15,(31),7,23,23,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,19,SUI,Switzerland,Andrea Aschieri / Anja Camusso,SUIAC13 / SUIAA8,SUI 370,254,218,5,(36),25,28,17,26,7,20,31,19,15,22,3,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,20,SWE,Sweden,Emil Jarudd / Klara Johansson,SWEEJ5 / SWEKJ7,SWE 14,255,223,23,19,31,27,16,17,22,13,20,17,(32),16,2,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,21,USA,United States of America,Sarah Newberry Moore / David Liebenberg,USASN15 / USADL74,USA 50,273,234,7,22,23,29,10,16,30,21,16,32,18,10,(39) UFD,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,22,AUS,Australia,Ruben Booth / Rita Booth Ferrando,AUSRB54 / AUSRB55,AUS 589,279,244,3,(35),19,26,29,11,16,29,10,27,25,19,30,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,23,ITA,Italy,Arto Hirsch / Giulia Fava,ITAAH7 / ITAGF74,ITA 363,291,257,20,28,24,32,22,24,28,(34),18,16,5,8,32,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,24,FRA,France,Margaux Billy / Noah Chauvin,FRANC26 / FRAMB101,FRA 485,303,268,30,21,21,18,23,25,(35),27,13,10,21,25,34,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,25,FRA,France,THOMAS PROUST / Eloïse Clabon,FRAEC47 / FRATP39,FRA 572,303,270,(33),29,28,16,14,20,24,23,27,29,20,28,12,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,26,BEL,Belgium,Lucas Claeyssens / Janne Ravelingien,BELLC2 / BELJR9,BEL 340,306,272,13,14,30,21,27,21,(34),26,29,9,30,26,26,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,27,TUR,Türkiye,Alican Kaynar / Beste Kaynakci,TURAK2 / TURBK13,TUR 451,312,273,28,26,29,23,25,29,5,18,14,20,(39) DNF,34,22,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,28,SWE,Sweden,Ida Svensson / Marcus Dackhammar,SWEIS4 / SWEMD2,SWE 61,313,274,16,3,9,9,8,9,33,31,(39) DNC,39 DNC,39 DNC,39 DNC,39 DNC,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,29,NED,Netherlands,Puck van der Veen / Wouter van Rooijen,NEDWV25 / NEDPV40,NED 393,315,276,9,23,27,30,(39) UFD,32,26,7,32,34,22,29,5,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,30,GBR,Great Britain,Theo Williams / Jasmine Williams,GBRJW176 / GBRTW73,GBR 438,315,281,31,33,18,20,(34),23,29,28,17,28,31,12,11,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,31,FRA,France,Rigaud Camille,FRARC27,FRA 390,359,322,34,(37),37,24,31,33,14,25,35,4,34,30,21,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,32,USA,United States of America,Carson Crain / Lindsay Gimple,USALG59 / USACC106,USA 34,357,322,27,30,(35),25,32,31,25,32,30,22,12,32,24,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,33,SUI,Switzerland,Axel Grandjean / Noemie Fehlmann,SUINF5 / SUIAG20,SUI 478,368,332,35,31,(36),31,20,28,9,33,36,35,19,35,20,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,34,NED,Netherlands,Bart Kooijman / Jella Rike Spijkervet,NEDJS45 / NEDBK13,NED 344,373,337,22,25,32,(36),33,36,20,24,33,30,24,33,25,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,35,FRA,France,Clement Martineau / Adélie Bertin,FRACM50 / FRAAB73,FRA 483,382,343,36,34,34,35,30,30,32,35,28,13,29,7,(39) UFD,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,36,BEL,Belgium,Kwinten Borghijs / Lieselotte Borghijs,BELLB10 / BELKB1,BEL 465,392,353,29,20,26,(39) UFD,35,35,23,36,23,33,33,27,33,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,37,BEL,Belgium,Arthur de Jonghe / Mira Vanroose,BELAD18 / BELMV19,BEL 453,426,387,37,27,33,34,(39) UFD,39 RET,39 DNC,19,34,36,17,37,35,-
Nacra 17 Mixed,"49er, 49erFX and Nacra 17 European Championships",DEN202207IOL,2023-11-08,2023-11-13,"Vilamoura, Portugal",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207IOL,38,POL,Poland,Aleksander Michalski / Karolina Żurek,POLKZ14 / POLAM6,POL 386,471,433,(38),38,38,37,36,34,36,37,37,37,36,36,31,-
