event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,26,FRA,France,Lysa Caval,FRALC65,,0,37
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,27,RYF,Russian Yachting Federation,Valeria Garashchenko,AINXVG1,,0,35
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,28,FRA,France,Zoe Boutang,FRAZB2,,0,32
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,29,ESP,Spain,ADELAIDA MARQUENIE ROCA,ESPAM129,,0,30
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,30,,,,,,0,27
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,31,FRA,France,Clara Enderle,FRACE10,,0,25
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,32,TUR,Türkiye,Derin Deniz Sorguc,TURDS11,,0,22
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,33,FRA,France,Claire Durand,FRACD57,,0,20
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,34,AUT,Austria,Alina Kornelli,AUTAK16,,0,17
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,35,GBR,Great Britain,Francesca Maini,GBRFM31,,0,15
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,36,GBR,Great Britain,Ella Saunders,GBRES61,,0,12
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,37,FRA,France,Manon Castelein,FRAMC90,,0,10
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,38,TAH,Tahiti,Maya Louviot,TAHML1,,0,7
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,39,TUR,Türkiye,Yagmur Tuna,TURYT9,,0,5
Formula Kite Women,Formula Kite Individual European Championships,GRE202105FIF,2021-09-06,2021-09-12,"Montpellier, France",https://sailing.org/regatta/formula-kite-individual-european-championships?ref=GRE202105FIF,40,CRO,Croatia,Marija Dolenc,CROMD7,,0,2
