event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(CR),2Q(CR),3Q(CR),4Q(CR),5Q(CR),6Q(CR),7Q(CR),8Q(CR),9F(CR),10F(CR),11F(CR),12F(CR),13F(SL),14F(SL),15F(SL),16F(SL),17F(CR),18F(CR),MR(pos)
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,95,GBR,Great Britain,Clay Yelland,GBRCY2,,579,431,46,39,(50),(58) DNC,45,45,45,39,(40),37,34,39,40,22,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,96,AUS,Australia,Jack Marquardt,AUSJM98,,581,432,45,42,44,(50),50,(58) DNF,47,46,29,38,(41),29,22,40,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,97,HUN,Hungary,Máté Kossovics,HUNHK1,,569.4,433.4,47,44,(48),46.4 RDG,(49),44,38,47,36,(39),31,35,38,27,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,98,TUR,Türkiye,Ali Tuncer,TURAT23,,602,439,(53),43,49,49,(58) DNC,46,43,37,44,25,43,30,30,(52),-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,99,GRE,Greece,Alexandros Kalpogiannakis,GREAK57,,586,448,(49),41,42,40,42,(46),42,41,41,41,40,37,(43),41,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,100,EST,Estonia,Romek Roolaht,ESTRR16,,591,449,(51),(51),49,45,44,41,44,49,38,(40),30,38,35,36,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,101,LAT,Latvia,Martins Dancauskis,LATMD1,,626,474,(51),44,(53),46,49,49,50,47,34,34,(48),36,42,43,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,102,CYP,Cyprus,Vasilis Charalambous,CYPVC4,,637,481,45,(50),47,47,(58) RET,50,48,46,39,43,39,40,37,(48),-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,103,FRA,France,Tom Arnoux,FRATA22,,662,488,22,11,24,25,(58) DNC,(58) DNC,58 DNC,58 DNC,(58) DNC,58 DNC,58 DNC,58 DNC,58 DNC,58 DNC,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,104,EST,Estonia,Frank Ervin,ESTFE1,,657,500,50,47,45,47,50,51,(52),(58) DNC,(47),42,44,46,45,33,-,-,-,-,-
