event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(CR),2Q(CR),3Q(CR),4Q(CR),5Q(CR),6Q(CR),7Q(CR),8Q(CR),9F(CR),10F(CR),11F(CR),12F(CR),13F(SL),14F(SL),15F(SL),16F(SL),17F(CR),18F(CR),MR(pos)
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,39,NED,Netherlands,Joost Vink,NEDJV76,,447,310,(25),21,17,9,25,(31),19,24,(44),26,16,34,(37),29,19,23,28,20,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,40,ITA,Italy,manolo umberto modena,ITAMM331,,484,325,(29),15,15,(24),3,6,14,8,35,47,39,43,27,27,29,17,(51),(55),-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,41,GRE,Greece,Vyron Kokkalanis,GREBK1,,485,330,12,14,(23),10,(32),14,8,18,31,(48),42,37,39 BFD,17,39 BFD,23,26,(52),-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,42,ESP,Spain,Bernat Tomas Cardell,ESPBT4,,481,330,15,17,14,(22),11,18,18,(21),(58) BFD,(50),26,44,19,21,13,21,48,45,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,43,LTU,Lithuania,Juozas Bernotas,LTUJB1,,486,330,13,(23),21,13,22,(25),22,17,(58) BFD,39,27,32,21,25,21,29,(50),28,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,44,FRA,France,Fabien Pianazza,FRAFP29,,499,332,21,19,16,25,21,(31),30,(32),36,35,(52),42,5,15,19,15,(52),33,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,45,ISR,Israel,Daniel Basik tashtash,ISRDB7,,511,349,(31),22,(27),21,17,15,20,26,(48),40,30,(56),19,19,13,31,33,43,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,46,CHN,"China, PR",,,,551,352,(38),22,26,(58) BFD,15,21,23,7,37,41,17,(52),23,39 DSQ,31,7,43,(51),-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,47,SUI,Switzerland,Sebastian Scharer,SUISS16,,570,367,26,25,33,15,(35),23,30,(58) DNF,47,(52),(58) DNC,41,17,19,17,25,13,36,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,48,ITA,Italy,Federico Pilloni,ITAFP148,,522.4,372.4,10.8 RDG,10.8 RDG,10.8 RDG,(33),5,11,(17),9,45,45,(47),(53),31,37,37,27,47,46,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,49,TUR,Türkiye,Onur Cavit Biriz,TURCB7,,534,379,18,31,16,(32),26,24,(33),4,39,43,37,(46),35,39 BFD,25,27,(44),15,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,50,FIN,Finland,Jakob Eklund,FINJE5,,555.4,391.4,17,18,18.4 RDG,20,(31),(36),24,23,(46),44,46,(51),35,35,23,21,30,37,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,51,ESP,Spain,Jorge Aranzueque Campello,ESPJA79,,588,401,21,(47),27,17,27,27,(31),16,(58) BFD,(51),35,50,25,31,23,9,49,44,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,52,GRE,Greece,Leonidas Tsortanidis,GRELT10,,551,401,(26),20,(30),19,23,21,21,18,(40),34,33,38,37,29,39 BFD,29,40,(54),-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,53,AUS,Australia,Harry Joyner,AUSHJ8,,576,410,(34),16,11,16,14,28,(32),25,41,(46),45,(54),39 BFD,33,35,35,37,35,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,54,NED,Netherlands,Hidde van der Meer,NEDHV34,,617,410,27,15,(58) BFD,28,28,(47),37,20,43,(54),41,(48),39 DNC,31,17,15,35,34,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,55,GBR,Great Britain,Charlie Dixon,GBRCD86,,608,416,(41),(41),36,20,24,19,19,26,34,(55),54,(55),33,33,19,11,39,49,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,56,ARG,Argentina,,,,650,418,23,6,21,(58) RET,20,27,27,(58) RET,(58) BFD,(58) SCP,49 SCP,54 SCP,17,27,27,21,58 BFD,41,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,57,SUI,Switzerland,Matteo Benz,SUIMB32,,602,421,37,(39),25,(41),22,17,20,22,32,38,(53),45,25,33,29,35,41,(48),-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,58,FRA,France,Gaspard Carfantan,FRAGC54,,278,175,22,(58) DNC,26,30,(37),23,27,28,1,4,3,5,(8),6,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,59,NOR,Norway,Endre Funnemark,NOREF9,,257,176,32,(35),20,(39),33,35,26,19,(7),1,1,1,4,4,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,60,GBR,Great Britain,Max Beaman,GBRMB158,,260,190,(28),58 DNE,24,16,28,24,(36),27,2,2,2,2,(6),5,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,61,CHN,"China, PR",Zhen Huang,CHNZH2,,318,198,19,23,(41),27,(47),33,29,29,24,(32),5,7,1,1,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,62,GER,Germany,Fabian Wolf,GERFW35,,287,201,(38),24,34,36,31,(39),26,35,3,3,4,3,(9),2,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,63,CHN,"China, PR",Jingye Huang,CHNJH4,,307,211,(47),(33),28,31,26,30,23,33,13,(16),6,6,2,13,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,64,POL,Poland,Radoslaw Furmanski,POLRF1,,344,213,37,31,30,23,29,(58) DNC,(58) DNC,27,4,12,9,4,7,(15),-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,65,ARU,Aruba,Malik Hoveling,ARUMH2,,297,216,25,26,(29),27,27,26,(29),25,8,5,16,12,(23),19,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,66,CRO,Croatia,Luka Mratovic,CROLM1,,315,222,33,29,25,32,(40),(41),34,33,6,7,7,8,(12),8,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,67,HKG,"Hong Kong, China",Ching Yin Cheng,HKGCC8,,355,225,30,17,(58) BFD,38,30,26,(39),34,11,8,8,13,(33),10,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,68,CHN,"China, PR",Hao Chen,CHNCC7,,345,250,36,30,29,26,35,(39),33,(38),(18),11,15,14,3,18,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,69,CZE,Czechia,Karel Lavicky,CZEKL1,,371,255,33,(38),(58) DSQ,35,38,34,25,31,17,(20),13,10,5,14,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,70,POL,Poland,Tomasz Romanowski,POLTR5,,396,255,31,29,(39),28,36,38,34,(44),10,9,20,(58) BFD,13,7,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,71,LAT,Latvia,Davis Mazais,LATDM2,,388,278,(36),27,31,34,25,25,(40),24,20,13,27,(34),18,34,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,72,HKG,"Hong Kong, China",Rafeek Kikabhoy,HKGKK2,,416,284,(39),28,37,29,30,38,(58) RET,32,(35),21,22,21,10,16,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,73,CYP,Cyprus,Andreas Cariolou,CYPAC1,,407,287,32,34,28,30,(58) RET,(37),35,29,22,19,17,20,21,(25),-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,74,CHN,"China, PR",qianfan jiang,CHNQJ1,,397,294,(43),35,37,(40),39,33,39,39,15,10,14,16,(20),17,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,75,HUN,Hungary,Mate Bors,HUNMB6,,428.7,298.7,(58) RET,32,33,(44),32,37,37,37,(28),16.7 RDG,11,11,26,26,-,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,76,SVK,Slovak Republik,Robert Kubin,SVKRK1,,403,300,34,34,(38),(37),36,34,32,31,12,17,18,(28),28,24,-,-,-,-,-
