event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(CR),2Q(CR),3Q(CR),4Q(CR),5Q(CR),6Q(CR),7Q(CR),8Q(CR),9F(CR),10F(CR),11F(CR),12F(CR),13F(SL),14F(SL),15F(SL),16F(SL),17F(CR),18F(CR),19F(CR),MR(pos)
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,80,JPN,Japan,Miki Yamabe,JPNMY23,,674,500,(46) DNF,37,37,(46) BFD,38,46 DNC,35,46 DNC,(37),36,36,36,33,25,23,35,37,(45) DNF,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,81,GRE,Greece,Aikaterini Divari,GREAD20,,669,501,(46) DNF,38,39,38,41,39,(46) DNF,46 DNC,35,(39),35,(37),35,33,35,34,29,24,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,82,ARG,Argentina,chiara ferretti,ARGCF13,,685,509,(46) DNC,40,(46) BFD,37,40,38,46 DNF,46 DNC,32,37,33,35,31,(39),39,22,33,(45) DNF,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,83,GRE,Greece,Emilia Kosti,GREEK23,,698,521,(46) DNF,40,40,39,41,40,31,(46) DNF,(40),40,40,40,33,37,29,33,38,(45) DSQ,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,84,SGP,Singapore,Marsha Shahrin,SINMS3,,703,524,(46) DNF,42,41,42,42,39,(46) DNC,46 DNC,38,(42),38,39,29,35,27,32,34,(45) DNF,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,85,FRA,France,LILA BONDOIS,FRALB67,,708,524,36,38,39,36,(46) DNC,(46) DNC,46 DNF,35,31,32,34,33,41,33,(47) DNC,(45) DNC,45 DNC,45 DNC,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,86,SUI,Switzerland,Elena Sandera,SUIES10,,744,562,(46) DNF,33,35,(46) DNC,46 DNC,46 DNC,46 DNC,46 DNC,(45) DNC,(45) DNC,45 DNC,45 DNC,39,19,27,45 DNC,45 DNC,45 DNC,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,87,GRE,Greece,MARINA CHEROUVEIM,GREMC9,,747,565,(46) DNF,39,41,38,(46) DNF,46 DNF,46 DNC,46 BFD,41,41,39,(45) DNC,35,41,33,39,40,(45) DNF,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,88,HUN,Hungary,Sara Szentivanyi,HUNSS4,,751,573,(46) DNF,(46) DNC,42,43,46 DNF,46 DNC,46 DNC,46 DNC,39,35,37,38,39,39,(41),38,39,(45) DNC,-,-
IQFOiL Women,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,89,USA,United States of America,Catherine Lindsay,USACL102,,770,590,(46) DNC,41,43,41,43,(46) DNC,46 DNC,46 DNF,42,(43),41,41,41,41,43,40,41,(45) DNF,-,-
