event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,1,ESP,Spain,Diego Botin le Chever / Florian Trittel Paul,ESPFT5 / ESPDB8,ESP 74,80,68
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,2,NED,Netherlands,Bart Lambriex / Floris van de Werken,NEDBL3 / NEDFV23,NED 1,108,83
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,3,GBR,Great Britain,James Peters / Fynn Sterritt,GBRFS6 / GBRJP65,GBR 30,105,84
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,4,CRO,Croatia,Sime Fantela / Mihovil Fantela,CROSF1 / CROMF1,CRO 83,126.2,100.2
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,5,AUS,Australia,Jim Colley / Shaun Connor,AUSJC75 / AUSSC40,AUS 20,121,102
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,6,POL,Poland,Lukasz Przybytek / Jacek Piasecki,POLLP2 / POLJP8,POL 7,122,106
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,7,DEN,Denmark,Frederik Rask / Jakob Precht Jensen,DENJP11 / DENFR5,DEN 3,127,106
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,8,AUT,Austria,Benjamin Bildstein / David Hussl,AUTBB1 / AUTDH1,AUT 10,132,114
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,9,AUS,Australia,Thomas Needham / Joel Turner,AUSTN6 / AUSJT27,AUS 40,138,115
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,10,NZL,New Zealand,Isaac McHardie / William McKenzie,NZLWM4 / NZLIM3,NZL 18,141,120
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,11,USA,United States of America,Andrew Mollerus / Ian Macdiarmid,USAAM84 / USAIM9,USA 43,131,110
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,12,GBR,Great Britain,Chris Taylor / Rhos Hawes,GBRCT23 / GBRRH84,GBR 284,138,114
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,13,FRA,France,Lucas Rual,FRALR14,FRA 95,143,120
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,14,FRA,France,Erwan Fischer / Clement Pequin,FRACP31 / FRAEF14,FRA 16,156,124
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,15,BEL,Belgium,Yannick Lefebvre / Tom Pelsmaekers,BELTP1 / BELYL5,BEL 24,151,129
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,16,GER,Germany,Tim Fischer / Fabian Graf,GERFG11 / GERTF11,GER 13,151,129
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,17,NED,Netherlands,Pim van Vugt / Scipio Houtman,NEDSH8 / NEDPV24,NED 69,155,132
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,18,SUI,Switzerland,Joshua Richner / Nilo Scharer,SUIJR14 / SUINS10,SUI 129,155,132
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,19,USA,United States of America,Nevin Snow / Maximiliano Agnese,USANS20 / USAMA19,USA 31,161,135
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,20,POL,Poland,Dominik Buksak / Szymon Wierzbicki,POLSW2 / POLDB1,POL 5,172,140
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,21,NZL,New Zealand,Logan Dunning-Beck / Oscar Gunn,NZLLD5 / NZLOG2,NZL 45,168,142
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,22,POL,Poland,Mikolaj Staniul / Jakub Sztorch,POLJS41 / POLMS47,POL 164,164,143
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,23,ITA,Italy,Simone Ferrarese / Leonardo Chiste',ITALC106 / ITASF2,ITA 23,183,159
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,24,AUS,Australia,Jack Ferguson / Max Paul,AUSMP41 / AUSJF32,AUS 111,200,174
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,25,ITA,Italy,Marco ANESSI / Edoardo Gamba,ITAEG39 / ITAMA68,ITA 504,210,183
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,26,AUS,Australia,Tom Burton / Simon Hoffman,AUSTB17 / AUSSH47,AUS 71,151,123
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,27,IRL,Ireland,Robert Dickson / Sean Waddilove,IRLSW17 / IRLRD19,IRL 8,160,128
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,28,USA,United States of America,Ian Barrows / Hans Henken,USAHH11 / USAIB26,USA 4,168,133
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,29,ITA,Italy,Uberto Crivelli Visconti / Giulio Calabro,ITAGC160 / ITAUC6,ITA 88,184,154
49er Men,"49er, 49erFX and Nacra 17 European Championships",DEN202207MUC,2022-07-05,2022-07-10,"Aarhus, Denmark",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=DEN202207MUC,30,GBR,Great Britain,Nick Robins / Daniel Budden,GBRDB95 / GBRNR20,GBR 140,181,155
