event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1,2,3,4,5,6,7,8,9,10,11,MR
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,21,GER,Germany,Laura Pukropski / Thorben Jonas Schlueter,GERLP16 / GERTS76,,229,191,28,24,22,14,35,(38) BFD,20,8,13,21,6,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,22,ITA,Italy,Lisa Vucetti / vittorio bonifacio,ITALV47 / ITAVB65,,236,203,18,6,2,15,31,13,27,(33),31,32,28,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,23,USA,United States of America,Nikole Barnes / Ryan Squires,USARS248 / ISVNB1,,273,235,22,2,(38) UFD,22,17,38 BFD,34,25,28,20,27,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,24,POL,Poland,Rafal Pogorzelski / Iga Wielczyk,POLRP11 / POLIW2,,273,235,9,16,23,20,30,(38) BFD,21,28,32,25,31,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,25,GBR,Great Britain,Charlotte Leigh / Sam Webb,GBRSW126 / GBRCL67,,279,241,33,7,27,27,15,(38) BFD,25,24,20,38 DNF,25,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,26,TUR,Türkiye,Beste Kaynakci / Sezai Bora Kütük,TURBK13 / TURSK7,,285,247,24,34,19,19,24,12,29,30,30,26,(38) DNC,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,27,GRE,Greece,Lampis Eulampios Giannoulis / Eleni Giannouli,GREHG2 / GRELG3,,289,251,27,29,24,28,18,(38) BFD,18,34,25,27,21,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,28,ITA,Italy,Flavio Fabbrini / Sveva Carraro,ITASC1 / ITAFF129,,294,256,35,(38) RET,34,26,14,38 BFD,32,15,23,16,23,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,29,POL,Poland,Agnieszka Pawlowska / Tomasz Lewandowski,POLTL5 / POLAP42,,298,260,11,30,32,13,26,(38) BFD,19,32,38 DNS,29,30,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,30,GER,Germany,Catharina Schaaff / Colin Liebig,GERCS78 / GERCL31,,307,269,34,26,26,31,32,(38) BFD,30,20,24,22,24,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,31,FRA,France,Sarah  JANNIN / Iban CORNIC,FRAIC6 / FRASJ18,,316,278,30,28,31,29,27,(38) RET,28,14,22,31,38 DNC,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,32,GER,Germany,Reamonn Theiner / Bente Batzing,GERRT11 / GERBB34,,319,281,29,27,28,24,29,(38) BFD,26,29,27,33,29,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,33,UKR,Ukraine,Yehor Samarin / Yelyzaveta Vasylenko,UKRYV5 / UKRYS4,,320,282,26,25,18,(38) BFD,28,38 BFD,35,31,33,28,20,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,34,ITA,Italy,Livia Ciampinelli / Nicola Brunotti,ITANB35 / ITALC179,,328,290,32,33,30,30,34,(38) BFD,33,27,26,19,26,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,35,CRO,Croatia,Ema Samarzija / Leon Scheidl,CROLS10 / CROES4,,369,331,31,20,33,(38) BFD,33,38 BFD,31,35,34,38 DNC,38 DNC,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,36,AUT,Austria,Helena Schiffke / Paul Hoppe,GERPH54 / AUTHS19,,381,343,37,35,(38) UFD,33,37,15,37,37,36,38 DNF,38 RET,-
470 Mixed,470 European Championships,FRA202405O96,2025-05-09,2025-05-17,"Split, Croatia",https://sailing.org/regatta/470-european-championships?ref=FRA202405O96,37,UKR,Ukraine,Anastasiia Herasymenko / Ivan Kruckov,UKRAH3 / UKRIK9,,390,352,36,36,29,32,36,(38) BFD,36,36,35,38 DNF,38 DNC,-
