event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 ,R9 Gold,R10 Gold,R11 Gold,R12 Gold,R13 Gold,R14 Gold,R15 Gold,R16 Gold,F1 Medal,F2 Medal
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,70,NED,Netherlands,Lenny Hofman,NEDLH9,NED 380,240,208,26,(32) DNF,20,18,17,18,32 RET,17,17,2,-,27,12,2,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,71,JPN,Japan,Ibuki Koizumi / Kotaro Matsuo,JPNIK2 / JPNKM32,JPN 26,247,215,(32) DNC,23,15,24,18,16,18,28,3,6,-,15,27,22,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,72,KOR,Republic of Korea,Bongjin Chae / SANGMIN SHIN,KORSS6 / KORBC1,KOR 200,264,229,26,18,22,23,21,15,25,20,10,19,-,16,(35) DNF,14,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,73,SLO,Slovenia,Svit Dujmovic Šterpin / Maj Petric,SLOMP20 / SVKSD1,SLO 988,261,231,25,17,28,17,15,25,27,15,23,4,-,(30),29,6,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,74,GER,Germany,Johannes Schonefeld / Tom Ismar,GERTI4 / GERJS205,GER 111,263,231,27,(32) DNF,25,24,26,24,1,15,21,8,-,22,15,23,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,75,DEN,Denmark,Loke Kise / Alfred Dixen,DENAD5 / DENLK10,DEN 320,264,232,17,27,18,17,(32) DNF,32 DNC,25,23,24,7,-,17,5,20,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,76,CAN,Canada,Jack Gogan / Hunter Hoy,CANHH11 / CANJG40,CAN 902,274,245,11,25,14,22,26,24,(29),17,15,27,-,13,22,29,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,77,GBR,Great Britain,Billy Vennis-Ozanne,GBRBV4,GBR 139,280,249,18,26,22,19,21,22,21,27,26,(31),-,20,16,11,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,78,USA,United States of America,Logan mraz / Steven Hardee,USASH136 / USALM113,USA 917,284,252,(32) DNC,32 DNC,24,28,27,32 DNF,26,18,14,15,-,2,21,13,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,79,FRA,France,Antoine Martin / Jules VIDOR,FRAJV36 / FRAAM95,FRA 356,294,262,(32) DNC,32 DNC,27,20,19,32 DNC,9,20,12,18,-,29,19,25,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,80,DEN,Denmark,Bertram Radich / Jonathan  Weimann,DENJW8 / DENBR3,DEN 511,294,262,20,19,23,15,24,23,18,21,25,(32),-,25,25,24,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,81,RSA,South Africa,Sean Kavanagh / Max Celliers,RSASK3 / RSAMC8,RSA 250,301,266,32 DNS,32 DNC,32 DNC,32 DNC,32 DNC,32 DNC,22,1,19,23,-,5,4,(35) DNC,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,82,AUT,Austria,Keno Pulte / Leo Uebelhör,AUTKP7 / AUTLU1,AUT 224,301,269,(32) DNC,21,20,26,27,32 DNC,30,29,13,24,-,23,14,10,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,83,KOR,Republic of Korea,Sunjin An / Yeongwoo Kim,KORSA1 / KORYK14,KOR 117,305,273,(32) DNC,32 DNC,27,25,28,32 DNF,12,16,27,11,-,11,26,26,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,84,SLO,Slovenia,LIAM AL-DILAIMI / Iztok Kalc,SLOLA1 / SLOIK3,SLO 277,310,278,24,27,27,(32) DNF,29,32 DNF,24,19,32,14,-,18,13,19,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,85,GER,Germany,Valentin Müller,GERVM7,GER 718,318,283,32 DNC,32 DNC,32 DNF,27,25,22,28,26,22,26,-,8,3,(35) DNC,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,86,SWE,Sweden,Felix Wichert / Aron Wichert,SWEFW10 / SWEAW14,SWE 254,316,284,(32) DNC,32 DNC,28,32 DNF,25,32 DNF,20,27,8,10,-,26,23,21,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,87,GER,Germany,Constantin Streicher / Cornelius Streicher,GERCS97 / GERCS116,GER 242,318,286,(32) DNC,32 DNC,32 DNC,32 DNF,32 DNC,32 DNC,28,22,5,22,-,21,20,8,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,88,USA,United States of America,Liam Walz / Abie Griggs,USAAG67 / USALW54,USA 366,317,286,23,24,24,22,25,19,26,28,(31),28,-,28,24,15,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,89,GER,Germany,Per Christoffer Schwall / Carl Frederik Schwall,GERCS88 / GERPS59,GER 925,323,288,32 DNC,32 DNC,16,32 DNF,32 DNC,32 DNC,11,4,18,9,-,(35) DNC,35 DNC,35 DNC,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,90,AUT,Austria,Ferdinand Steffan / Jonah Maier,AUTFS12 / AUTJM7,AUT 247,325,293,(32) DNC,32 DNC,26,29,30,32 RET,19,29,29,29,-,19,10,9,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,91,DEN,Denmark,Anton Böcher,DENAB20,DEN 360,382,350,(32) RET,32 DNF,29,28,29,32 DNF,30,26,28,30,-,31,28,27,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,92,SUI,Switzerland,Nicolas Ziegert / Théo Ziegert,SUINZ4 / SUITZ4,SUI 286,416,381,32 DNC,32 DNC,32 DNF,32 DNC,32 DNC,32 DNC,29,30,33,33,-,32,32,(35) DNC,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,93,GER,Germany,Till Neubert / Sven Neubert,GERSN8 / GERTN18,GER 565,423,388,32 DNC,32 DNC,32 DNC,32 DNC,32 DNC,32 DNC,31,31,(35) DNC,35 DNC,-,33,31,35 DNC,-,-,-,-
