event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 ,R9 Gold,R10 Gold,R11 Gold,R12 Gold,R13 Gold,R14 Gold,R15 Gold,R16 Gold,F1 Medal,F2 Medal
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,22,SUI,Switzerland,Joshua Richner / Nilo Scharer,SUINS10 / SUIJR14,SUI 133,176,149,6,2,17,9,16,3,(27),9,13,18,21,12,14,9,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,23,SWE,Sweden,Marius Westerlind / Olle Aronsson,SWEOA5 / SWEMW24,SWE 44,182,150,12,(32) DSQ,5,7,14,9,4,12,23,7,22,19,13,3,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,24,GBR,Great Britain,Finley Armstrong / Richie Thurlby,GBRFA6 / GBRRT66,GBR 590,181,152,1,9,5,3,7,5,23,(29),12,22,17,3,22,23,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,25,ITA,Italy,Zeno Valerio Marchesini / Leonardo Chiste',ITALC106 / ITAZM3,ITA 23,214,188,3,11,6,15,9,10,18,7,16,25,25,(26) RET,23,20,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,26,USA,United States of America,Andrew Mollerus / Trevor Bornarth,USAAM84 / USATB148,USA 43,118,99,15,5,18,4,13,17,6,8,8,(19),2,1,2,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,27,FRA,France,Théo Revil / Gaultier Tallieu,FRAGT18 / FRATR32,FRA 441,134.4,113.4,5,11.4 RDG,9,(21),8,10,17,10,6,9,7,20,1,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,28,GER,Germany,Moritz Dorau / Riko Rockenbauch,GERRR26 / GERMD28,GER 875,165,136,4,6,19,4,17,8,24,13,21,7,8,(29),5,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,29,POL,Poland,Tytus Butowski / Adam Glogowski,POLTB5 / POLAG20,POL 73,164,139,15,6,12,21,22,12,1,24,2,6,(25),14,4,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,30,FRA,France,Hugo REVIL / Keo Devaux,FRAHR19 / FRAKD9,FRA 520,176,147,16,5,23,10,8,14,15,8,1,(29),16,5,26,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,31,GER,Germany,Jakob Meggendorfer / Andreas Spranger,GERAS58 / GERJM44,GER 22,184,151,19,4,14,15,24,4,7,3,12,25,(33),4,20,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,32,AUS,Australia,Spencer McKay / Benedict McKay,AUSBM46 / AUSSM65,AUS 140,187,155,10,20,3,28,(32) DNC,21,10,7,15,3,1,10,27,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,33,NZL,New Zealand,Sean Kensington / Rowan Kensington,NZLSK6 / NZLRK6,NZL 989,188,157,13,14,4,26,16,17,4,18,(31),16,5,6,18,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,34,SUI,Switzerland,Pablo Rüegge / Finn Meichle,GERFM49 / SUIPR10,SUI 499,191,159,(32) DNC,16,23,11,5,15,14,8,4,15,13,32,3,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,35,HUN,Hungary,Soma Kis-Szölgyémi / Arthur de Jonghe,BELAD18 / HUNSK11,HUN 704,187,160,21,15,26,12,23,13,3,18,(27),8,6,2,13,-,-,-,-,-
