event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1(CR),2(CR),3(CR),4(CR),5(CR),6(CR),7(SL),8(SL),9(SL),10(SL),11(SL),MR (pos)
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,20,NOR,Norway,Mina Mobekk,NORMM23,,216,147,22,(32),15,(37),11,30,21,23,7,13,5,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,21,CYP,Cyprus,Natasa Lappa,CYPNL2,,241,153,(47),9,(41),27,29,25,3,39 BFD,13,3,5,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,22,NOR,Norway,Tuva Oppedal,NORTO12,,241,155,25,(47),4,14,(39),19,11,23,13,13,33,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,23,FRA,France,Ambar Papazian,FRAAP56,,222,156,8,(31),(35),25,18,12,21,19,27,19,7,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,24,EST,Estonia,Emma Viktoria Millend,ESTEM4,,236,161,34,20,24,4,(36),1,(39) BFD,31,11,27,9,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,25,GBR,Great Britain,Alice Read,GBRAR80,,256,174,(43),13,29,24,21,(39),19,25,15,17,11,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,26,FRA,France,Lola Sorin,FRALS26,,239,175,5,23,19,(33),(31),15,9,29,25,31,19,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,27,MEX,Mexico,Mariana Aguilar Chavez Peon,MEXMA3,,246.4,175.4,(33),25,13,(38),26.4 RDG,22,15,19,13,15,27,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,28,GRE,Greece,Danae Pontifex,GREDP28,,262,180,(40),35,(42),13,20,29,5,13,19,25,21,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,29,SLO,Slovenia,Lina Erzen,SLOLE1,,268,181,7,(43),16,19,24,(44),39 BFD,19,33,19,5,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,30,GBR,Great Britain,Jennie Roberts,GBRJR119,,274,181,(45),18,39,17,16,(48),39 BFD,17,17,9,9,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,31,ITA,Italy,Linda Oprandi,ITALO5,,274,184,39,10,(45),36,4,(45),15,11,19,17,33,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,32,ESP,Spain,Andrea Torres Fullana,ESPAF46,,270,184,37,29,(46),34,(40),27,9,9,17,9,13,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,33,GBR,Great Britain,Darcey Shaw,GBRDS83,,261,185,32,27,5,23,(43),24,17,7,21,29,(33),-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,34,POL,Poland,Maja Dziarnowska,POLMD6,,268,192,27,16,33,28,22,(37),(39) BFD,15,19,23,9,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,35,POL,Poland,Maja Kuchta,POLMK139,,278,201,23,19,32,(44),13,28,(33),15,29,23,19,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,36,POL,Poland,Aleksandra Wasiewicz,POLAW17,,299,202,21,30,30,26,(56) UFD,(41),15,23,21,21,15,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,37,FIN,Finland,Sofia Hamalainen,FINSH10,,295,208,13,(48),20,31,33,31,(39) DNF,21,5,23,31,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,38,NOR,Norway,Helle Oppedal,NORHO8,,304,216,30,(45),27,35,23,(43),39 DNF,25,11,9,17,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,39,GBR,Great Britain,Lucy Kenyon,GBRLK16,,315,232,20,21,23,30,(44),36,27,31,23,(39) DSQ,21,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,40,SWE,Sweden,Johanna Hjertberg,SWEJH57,,337,242,(46),34,22,46,41,(49),21,13,7,31,27,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,41,FRA,France,Marion Couturier,FRAMC81,,359,247,(56) UFD,46,(56) UFD,2,56 DSQ,38,39 DNF,15,1,29,21,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,42,ESP,Spain,Julia Gomez Roa,ESPJG114,,347,248,(56) DNC,33,31,(43),38,35,39 DNF,17,29,19,7,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,43,GER,Germany,Sophia Meyer,GERSM58,,333,250,(41),39,40,41,5,(42),39 BFD,35,23,5,23,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,44,ESP,Spain,Barbara Winau Ordinas,ESPBW3,,354,258,(48),36,(48),32,48,23,39 BFD,7,29,15,29,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,45,SUI,Switzerland,Elena Sandera,SUIES10,,356,264,31 STP,(41),38,(51),34,32,19,33,31,35,11,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,46,USA,United States of America,Dominique Stater,USADS214,,362,267,38,37,44,(49),45,(46),13,13,31,15,31,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,47,ITA,Italy,CAROLA COLASANTO,ITACC169,,374,286,36,(42),37,20,(46),40,39 DNF,39 BFD,31,25,19,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,48,NED,Netherlands,Yfke van der Meer,NEDYV4,,390,292,42,40,34,45,(47),(51),31,27,15,31,27,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,49,ARU,Aruba,Zara Rozeboom,ARUZR1,,374.6,293.6,35,36.6 RDG,36,(42),37,33,29,25,33,(39) DNC,29,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,50,AUS,Australia,Samantha Costin,AUSSC55,,397,299,(49),44,43,48,(49),47,17,29,21,25,25,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,51,POL,Poland,Martyna Duzowska,POLMD25,,420,312,(56) DNC,49,47,47,42,(52),13,33,27,29,25,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,52,ESP,Spain,Enrichetta Bettini,ESPEB19,,448,342,44,52,50,(53),51,(53),23,29,35,27,31,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,53,GER,Germany,Alica Stuhlemmer,GERAS76,,469,362,(56) DNC,(51),49,50,50,50,39 DNF,27,35,27,35,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,54,ITA,Italy,Livia Passoni,ITALP131,,503,393,(56) DNC,53,51,(54),52,54,39 DNC,35,35,39 DNC,35,-
IQFOiL Women,iQFOiL European Championships,ITA2024104BI,2025-11-22,2025-11-29,"Sferracavallo, Palermo, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA2024104BI,55,POL,Poland,Maria Wolska,POLMW78,,531,419,(56) DNC,(56) DNC,56 DNC,56 DNC,56 DNC,56 DNC,39 DNC,39 DNC,39 DNC,39 DNC,39 DNC,-
