series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,42,ARG,Argentina,Joaquin Galvan,ARGJG19,,322,278
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,43,USA,United States of America,Thomas Kraak,USATK79,,329,284
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,44,USA,United States of America,Connor McHugh,USACM244,,340,296
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,45,GUA,Guatemala,Diego Silvestre,GUADS1,,343,297
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,46,USA,United States of America,Devon Owen,USADO39,,31,21
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,47,USA,United States of America,Jackson Bjorklund,USAJB502,,33,22
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,48,MEX,Mexico,Sanka Bourquin,MEXSB2,,35,25
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,49,USA,United States of America,Stewart McCaleb,USASM316,,46,32
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,50,USA,United States of America,Beck Brill,USABB222,,42,33
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,51,USA,United States of America,Julian Soto,USAJS490,,48,38
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,52,USA,United States of America,Landon Stahl,USALS125,,60,41
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,53,USA,United States of America,Michael Sentovich,USAMS386,,56,42
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,54,JAM,Jamaica,Reece Schwartz,JAMRS1,,62,47
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,55,MEX,Mexico,Namkhai Bourquin,MEXNB3,,64,49
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,56,ARG,Argentina,Benjamin Galvan,ARGBG3,,73,61
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,57,CAN,Canada,John  Fremont,CANJF38,,77,61
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,58,IRL,Ireland,Peter Phelan,USAPP3,,78,62
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,59,CAN,Canada,Duncan Pearce,CANDP18,,85,66
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,60,USA,United States of America,Caio Sullivan,USACS397,,88,71
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,61,USA,United States of America,Qi Yan,CHNQY6,,95,78
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,62,FIJ,Fiji,Viliame Ratulu,FIJVR1,,114,96
San Pedro Olympic Classes Regatta,ILCA 7 Men,San Pedro Olympic Classes Regatta,USA2025077IV,2026-07-20,2026-08-08,"San Pedro, CA, United States of America",https://sailing.org/regatta/san-pedro-olympic-classes-regatta?ref=USA2025077IV,63,NZL,New Zealand,George Gautrey,NZLGG34,,118,99
