series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1P ,2P ,3P ,4P ,5P 
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,107,FIN,Finland,Maximilian Sergelius,FINMS31,FIN 222065,245,190,46,44,(55),45 STP,55
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,108,NED,Netherlands,Tim Lambers,NEDTL9,NED 224269,255,195,(60) BFD,45,50,48,52
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,109,FRA,France,Martin Kowalski,FRAMK8,FRA 222924,260,199,43,43,52,(61) DNC,61 DNC
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,110,GER,Germany,Pierre-Philipp Schaber,GERPS74,GER 219055,253,199,49,53,46,(54),51 STP
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,111,GER,Germany,Felix Bonhagen,GERFB48,GER 217093,256,200,45,50,(56),49,56
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,112,GER,Germany,Jan Cegielski,GERJC15,GER 218465,262,202,(60) BFD,54,57,44,47 STP
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,113,GER,Germany,Can Bekis,GERCB48,GER 198979,264,206,48,(58),57,53,48
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,114,SWE,Sweden,Simon Linse,SWESL24,SWE 216957,264,208,(56),49,53,53,53
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,115,GER,Germany,Nico Schäfferling,GERNS13,GER 217147,265,210,52,(55),54 STP,52 STP,52
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,116,GER,Germany,Lars Kreilaus,GERLK79,GER 219070,277,219,(58),56,58,52,53
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,117,SWE,Sweden,Ossian Suneson,SWEOS19,SWE 221434,286,225,60 BFD,60 STP,(61) STP,50,55
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,118,GER,Germany,Collin Finley Riehl,GERCR31,GER 217950,285,226,57,(59),56,56,57
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,119,AUT,Austria,Robert Hitsch,AUTRH16,GBR 198501,296,235,(61) DNC,60,61 DNC,57 STP,57 STP
